Document Number,Document type,Document Date,Posting Date,Cost Center,Profit Center,Year/month,Account,Plant,Material,Quantity,Amount in local currency,Local Currency,Purchasing Document,Reference,Document currency,Offsetting acct no.,Base Unit of Measure,Alternative Account No.,Transaction Code,Text,Assignment
150000155,KP,31/01/2019,31/01/2019,,600,2019/01,20011,3YUM,56017489,"1,431","428,400",COP,4501941517,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,600,2019/01,20011,3YUM,56015929,"1,305","390,683",COP,4501941517,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,600,2019/01,20011,3YUM,56231604,"3,923","587,224",COP,4501941517,,COP,50320,KG,14651020,MR11,,
150000319,KP,28/02/2019,28/02/2019,,135,2019/02,20011,3YUM,30531350,"6,500","3,830,572",COP,4501866953,,COP,50320,KG,14651020,MR11,,
150000319,KP,28/02/2019,28/02/2019,,131,2019/02,20011,3YUM,30513920,"2,100","1,001,842",COP,4501866953,,COP,50320,KG,14651020,MR11,,
150000319,KP,28/02/2019,28/02/2019,,135,2019/02,20011,3YUM,30000497,"2,000","1,105,382",COP,4501917303,,COP,50320,KG,14651020,MR11,,
150000319,KP,28/02/2019,28/02/2019,,135,2019/02,20011,3YUM,91312510,"17,600","10,438,384",COP,4501923167,,COP,50320,KG,14651020,MR11,,
150000319,KP,28/02/2019,28/02/2019,,135,2019/02,20011,3YUM,30521672,"6,000","3,436,165",COP,4501936771,,COP,50320,KG,14651020,MR11,,
150000319,KP,28/02/2019,28/02/2019,,135,2019/02,20011,3YUM,30012192,"3,000","2,384,889",COP,4501945331,,COP,50320,KG,14651020,MR11,,
150000319,KP,28/02/2019,28/02/2019,,135,2019/02,20011,3YUM,30226449,525,"417,356",COP,4501945331,,COP,50320,KG,14651020,MR11,,
150000319,KP,28/02/2019,28/02/2019,,131,2019/02,20011,3YUM,30523135,"3,272.720","2,325,005",COP,4501948243,,COP,50320,KG,14651020,MR11,,
150000319,KP,28/02/2019,28/02/2019,,127,2019/02,20011,3YUM,30225604,"4,800","2,346,954",COP,4501949020,,COP,50320,KG,14651020,MR11,,
150000319,KP,28/02/2019,28/02/2019,,127,2019/02,20011,3YUM,30226795,"4,000","1,955,795",COP,4501949020,,COP,50320,KG,14651020,MR11,,
150000319,KP,28/02/2019,28/02/2019,,127,2019/02,20011,3YUM,30226719,"2,400","1,173,477",COP,4501949020,,COP,50320,KG,14651020,MR11,,
150000319,KP,28/02/2019,28/02/2019,,127,2019/02,20011,3YUM,30521144,"2,400","1,833,558",COP,4501949020,,COP,50320,KG,14651020,MR11,,
150000319,KP,28/02/2019,28/02/2019,,127,2019/02,20011,3YUM,30226794,"1,600","782,318",COP,4501949020,,COP,50320,KG,14651020,MR11,,
150000319,KP,28/02/2019,28/02/2019,,127,2019/02,20011,3YUM,30504649,800,"391,159",COP,4501949020,,COP,50320,KG,14651020,MR11,,
150000319,KP,28/02/2019,28/02/2019,,135,2019/02,20011,3YUM,30531350,"5,000","2,934,047",COP,4501950196,,COP,50320,KG,14651020,MR11,,
150000319,KP,28/02/2019,28/02/2019,,135,2019/02,20011,3YUM,30226471,"5,000","2,934,047",COP,4501950196,,COP,50320,KG,14651020,MR11,,
150000319,KP,28/02/2019,28/02/2019,,125,2019/02,20011,3YUM,30007131,"1,660.134","1,166,472",COP,4501956624,,COP,50320,KG,14651020,MR11,,
150000319,KP,28/02/2019,28/02/2019,,600,2019/02,20011,3YUM,56229458,"14,447","1,843,152",COP,4501966180,,COP,50320,KG,14651020,MR11,,
150000319,KP,28/02/2019,28/02/2019,,135,2019/02,20011,3YUM,35018300,"4,200","1,470,000",COP,4501966604,,COP,50320,EA,14651020,MR11,,
150000485,KP,29/03/2019,29/03/2019,,135,2019/03,20011,3YUM,30226471,500,"300,266",COP,4501919633,,COP,50320,KG,14651020,MR11,,
150000485,KP,29/03/2019,29/03/2019,,135,2019/03,20011,3YUM,30226479,"1,975","1,186,051",COP,4501919633,,COP,50320,KG,14651020,MR11,,
150000485,KP,29/03/2019,29/03/2019,,135,2019/03,20011,3YUM,30225162,"2,000","1,201,064",COP,4501919633,,COP,50320,KG,14651020,MR11,,
150000485,KP,29/03/2019,29/03/2019,,135,2019/03,20011,3YUM,30226480,"2,000","1,201,064",COP,4501919633,,COP,50320,KG,14651020,MR11,,
150000485,KP,29/03/2019,29/03/2019,,135,2019/03,20011,3YUM,30531350,"3,500","2,101,862",COP,4501919633,,COP,50320,KG,14651020,MR11,,
150000485,KP,29/03/2019,29/03/2019,,135,2019/03,20011,3YUM,30226471,"7,000","4,203,724",COP,4501919634,,COP,50320,KG,14651020,MR11,,
150000485,KP,29/03/2019,29/03/2019,,135,2019/03,20011,3YUM,30226479,"1,000","600,532",COP,4501919634,,COP,50320,KG,14651020,MR11,,
150000485,KP,29/03/2019,29/03/2019,,135,2019/03,20011,3YUM,30225162,"1,000","600,532",COP,4501919634,,COP,50320,KG,14651020,MR11,,
150000485,KP,29/03/2019,29/03/2019,,135,2019/03,20011,3YUM,30226480,"1,000","600,532",COP,4501919634,,COP,50320,KG,14651020,MR11,,
150000485,KP,29/03/2019,29/03/2019,,135,2019/03,20011,3YUM,30510514,"1,000","1,301,778",COP,4501926728,,COP,50320,KG,14651020,MR11,,
150000485,KP,29/03/2019,29/03/2019,,135,2019/03,20011,3YUM,30510514,"1,000","211,917",COP,4501926728,,COP,50320,KG,14651020,MR11,,
150000485,KP,29/03/2019,29/03/2019,,135,2019/03,20011,3YUM,30226502,"1,000","702,864",COP,4501949034,,COP,50320,KG,14651020,MR11,,
150000485,KP,29/03/2019,29/03/2019,,125,2019/03,20011,3YUM,30226540,"2,177.269","2,824,257",COP,4501950128,,COP,50320,KG,14651020,MR11,,
150000485,KP,29/03/2019,29/03/2019,,127,2019/03,20011,3YUM,30226795,800,"405,399",COP,4501953713,,COP,50320,KG,14651020,MR11,,
150000485,KP,29/03/2019,29/03/2019,,127,2019/03,20011,3YUM,30226794,800,"405,399",COP,4501953713,,COP,50320,KG,14651020,MR11,,
150000485,KP,29/03/2019,29/03/2019,,127,2019/03,20011,3YUM,30225604,"9,600","4,864,788",COP,4501953713,,COP,50320,KG,14651020,MR11,,
150000485,KP,29/03/2019,29/03/2019,,127,2019/03,20011,3YUM,30226719,"4,000","2,026,995",COP,4501953713,,COP,50320,KG,14651020,MR11,,
150000485,KP,29/03/2019,29/03/2019,,127,2019/03,20011,3YUM,30521144,800,"608,099",COP,4501953713,,COP,50320,KG,14651020,MR11,,
150000485,KP,29/03/2019,29/03/2019,,135,2019/03,20011,3YUM,30019466,"2,000","2,619,654",COP,4501963373,,COP,50320,KG,14651020,MR11,,
150000485,KP,29/03/2019,29/03/2019,,135,2019/03,20011,3YUM,30529347,500,"555,378",COP,4501964800,,COP,50320,KG,14651020,MR11,,
150000485,KP,29/03/2019,29/03/2019,,135,2019/03,20011,3YUM,30225157,"2,000","1,086,728",COP,4501966612,,COP,50320,KG,14651020,MR11,,
150000485,KP,29/03/2019,29/03/2019,,127,2019/03,20011,3YUM,56227268,50,"1,149,843",COP,4501979372,,COP,50320,EA,14651020,MR11,,
150000641,KP,30/04/2019,30/04/2019,,135,2019/04,20011,3YUM,30531350,"10,000","5,868,093",COP,4501950198,,COP,50320,KG,14651020,MR11,,
150000641,KP,30/04/2019,30/04/2019,,131,2019/04,20011,3YUM,30221219,"4,500","1,963,087",COP,4501965250,,COP,50320,KG,14651020,MR11,,
150000641,KP,30/04/2019,30/04/2019,,125,2019/04,20011,3YUM,56017409,"1,200","41,978",COP,4501979389,,COP,50320,KG,14651020,MR11,,
150000641,KP,30/04/2019,30/04/2019,,125,2019/04,20011,3YUM,91460570,"6,000","209,889",COP,4501979389,,COP,50320,KG,14651020,MR11,,
150000641,KP,30/04/2019,30/04/2019,,125,2019/04,20011,3YUM,90910594,900,"165,241",COP,4501980689,,COP,50320,KG,14651020,MR11,,
150000813,KP,31/05/2019,31/05/2019,,135,2019/05,20011,3YUM,30018625,224.530,"247,120",COP,4502019297,,COP,50320,KG,14651020,MR11,,
150000813,KP,31/05/2019,31/05/2019,,135,2019/05,20011,3YUM,30510514,500,"94,367",COP,4502024890,,COP,50320,KG,14651020,MR11,,
150000813,KP,31/05/2019,31/05/2019,,135,2019/05,20011,3YUM,30510514,500,"644,838",COP,4502024890,,COP,50320,KG,14651020,MR11,,
150000987,KP,28/06/2019,28/06/2019,,135,2019/06,20011,3YUM,30531350,"10,000","5,868,094",COP,4501950201,,COP,50320,KG,14651020,MR11,,
150000987,KP,28/06/2019,28/06/2019,,125,2019/06,20011,3YUM,56017409,"1,200","44,067",COP,4502002471,,COP,50320,KG,14651020,MR11,,
150000987,KP,28/06/2019,28/06/2019,,125,2019/06,20011,3YUM,56017409,"1,200","1,352,796",COP,4502002471,,COP,50320,KG,14651020,MR11,,
150000987,KP,28/06/2019,28/06/2019,,125,2019/06,20011,3YUM,91460570,"6,000","221,226",COP,4502002471,,COP,50320,KG,14651020,MR11,,
150000987,KP,28/06/2019,28/06/2019,,125,2019/06,20011,3YUM,91460570,"6,000","6,763,980",COP,4502002471,,COP,50320,KG,14651020,MR11,,
150001152,KP,31/07/2019,31/07/2019,,131,2019/07,20011,3YUM,30009039,"6,000","5,373,938",COP,4501950167,,COP,50320,KG,14651020,MR11,,
150001152,KP,31/07/2019,31/07/2019,,135,2019/07,20011,3YUM,30226479,"1,000","586,809",COP,4501950231,,COP,50320,KG,14651020,MR11,,
150001152,KP,31/07/2019,31/07/2019,,135,2019/07,20011,3YUM,30226480,"1,000","586,809",COP,4501950231,,COP,50320,KG,14651020,MR11,,
150001152,KP,31/07/2019,31/07/2019,,135,2019/07,20011,3YUM,30226471,"8,000","4,694,473",COP,4501950231,,COP,50320,KG,14651020,MR11,,
150001152,KP,31/07/2019,31/07/2019,,135,2019/07,20011,3YUM,30226502,"1,000","715,406",COP,4502001892,,COP,50320,KG,14651020,MR11,,
150001152,KP,31/07/2019,31/07/2019,,135,2019/07,20011,3YUM,30226465,420,"326,598",COP,4502001892,,COP,50320,KG,14651020,MR11,,
150001152,KP,31/07/2019,31/07/2019,,127,2019/07,20011,3YUM,30012257,"1,800","839,824",COP,4502001892,,COP,50320,KG,14651020,MR11,,
150001318,KP,30/08/2019,30/08/2019,,135,2019/08,20011,3YUM,30531350,"10,000","5,868,094",COP,4501950203,,COP,50320,KG,14651020,MR11,,
150001318,KP,30/08/2019,30/08/2019,,135,2019/08,20011,3YUM,30530378,"17,100","7,949,428",COP,4501990017,,COP,50320,KG,14651020,MR11,,
150001318,KP,30/08/2019,30/08/2019,,135,2019/08,20011,3YUM,30226471,"4,000","2,391,066",COP,4501993858,,COP,50320,KG,14651020,MR11,,
150001318,KP,30/08/2019,30/08/2019,,131,2019/08,20011,3YUM,30513920,"2,400","1,132,610",COP,4501993858,,COP,50320,KG,14651020,MR11,,
150001318,KP,30/08/2019,30/08/2019,,135,2019/08,20011,3YUM,30226480,"1,000","597,767",COP,4501993858,,COP,50320,KG,14651020,MR11,,
150001318,KP,30/08/2019,30/08/2019,,135,2019/08,20011,3YUM,30225162,"1,000","597,767",COP,4501993858,,COP,50320,KG,14651020,MR11,,
150001318,KP,30/08/2019,30/08/2019,,135,2019/08,20011,3YUM,30521672,"5,400","3,214,058",COP,4502003398,,COP,50320,KG,14651020,MR11,,
150001318,KP,30/08/2019,30/08/2019,,125,2019/08,20011,3YUM,30226540,"2,179.200","2,887,912",COP,4502005359,,COP,50320,KG,14651020,MR11,,
150001318,KP,30/08/2019,30/08/2019,,135,2019/08,20011,3YUM,30512500,"9,000","5,092,250",COP,4502005364,,COP,50320,KG,14651020,MR11,,
150001318,KP,30/08/2019,30/08/2019,,135,2019/08,20011,3YUM,30018996,"6,000","3,394,834",COP,4502005364,,COP,50320,KG,14651020,MR11,,
150001318,KP,30/08/2019,30/08/2019,,135,2019/08,20011,3YUM,30012192,"6,060","4,634,344",COP,4502025566,,COP,50320,KG,14651020,MR11,,
150001318,KP,30/08/2019,30/08/2019,,135,2019/08,20011,3YUM,30226449,525,"401,490",COP,4502025566,,COP,50320,KG,14651020,MR11,,
150001318,KP,30/08/2019,30/08/2019,,135,2019/08,20011,3YUM,30529347,500,"542,895",COP,4502049156,,COP,50320,KG,14651020,MR11,,
150001318,KP,30/08/2019,30/08/2019,,135,2019/08,20011,3YUM,91482534,880,"980,184",COP,4502054840,,COP,50320,KG,14651020,MR11,,
150001318,KP,30/08/2019,30/08/2019,,127,2019/08,20011,3YUM,30012257,450,"118,687",COP,4502058478,,COP,50320,KG,14651020,MR11,,
150001318,KP,30/08/2019,30/08/2019,,200,2019/08,20011,3YUP,30528734,40,"211,829",COP,4502065054,,COP,50320,KG,14651020,MR11,,
150001475,KP,30/09/2019,30/09/2019,,135,2019/09,20011,3YUM,30017811,600,"277,962",COP,4501950232,,COP,50320,KG,14651020,MR11,,
150001475,KP,30/09/2019,30/09/2019,,131,2019/09,20011,3YUM,30513920,900,"416,943",COP,4501950232,,COP,50320,KG,14651020,MR11,,
150001475,KP,30/09/2019,30/09/2019,,135,2019/09,20011,3YUM,30226471,"8,000","4,694,474",COP,4501950233,,COP,50320,KG,14651020,MR11,,
150001475,KP,30/09/2019,30/09/2019,,135,2019/09,20011,3YUM,30226479,"1,000","586,809",COP,4501950233,,COP,50320,KG,14651020,MR11,,
150001475,KP,30/09/2019,30/09/2019,,135,2019/09,20011,3YUM,30226480,"1,000","586,809",COP,4501950233,,COP,50320,KG,14651020,MR11,,
150001475,KP,30/09/2019,30/09/2019,,135,2019/09,20011,3YUM,30535256,"1,260","1,388,204",COP,4502043340,,COP,50320,KG,14651020,MR11,,
150001475,KP,30/09/2019,30/09/2019,,131,2019/09,20011,3YUM,30523135,"3,272.640","2,385,820",COP,4502049920,,COP,50320,KG,14651020,MR11,,
150001475,KP,30/09/2019,30/09/2019,,125,2019/09,20011,3YUM,91238659,"1,800","743,759",COP,4502055558,,COP,50320,KG,14651020,MR11,,
150001475,KP,30/09/2019,30/09/2019,,125,2019/09,20011,3YUM,90154165,"1,350","557,819",COP,4502055558,,COP,50320,KG,14651020,MR11,,
150001475,KP,30/09/2019,30/09/2019,,125,2019/09,20011,3YUM,91451372,900,"371,880",COP,4502055558,,COP,50320,KG,14651020,MR11,,
150001475,KP,30/09/2019,30/09/2019,,127,2019/09,20011,3YUM,30524461,870.900,"1,449,947",COP,4502061687,,COP,50320,KG,14651020,MR11,,
150001475,KP,30/09/2019,30/09/2019,,135,2019/09,20011,3YUM,30012344,"10,020","2,562,900",COP,4502069279,,COP,50320,KG,14651020,MR11,,
150001475,KP,30/09/2019,30/09/2019,,135,2019/09,20011,3YUM,30519032,285,"254,588",COP,4502075894,,COP,50320,KG,14651020,MR11,,
150001475,KP,30/09/2019,30/09/2019,,135,2019/09,20011,3YUM,30519032,285,"118,202",COP,4502075894,,COP,50320,KG,14651020,MR11,,
150001475,KP,30/09/2019,30/09/2019,,200,2019/09,20011,3YUP,30528548,200,"2,562,125",COP,4502081397,,COP,50320,KG,14651020,MR11,,
150001476,KP,30/09/2019,30/09/2019,,141,2019/09,20011,3YUM,30536213,200,"88,433",COP,4502049154,,COP,50320,KG,14651020,MR11,,
170000002,WE,02/01/2019,02/01/2019,,135,2019/01,20011,3YUM,30018609,"-21,500","-1,992,063",COP,4501928457,85693589,USD,10500,KG,14651020,MIGO_GR,,
170000010,WE,03/01/2019,03/01/2019,,131,2019/01,20011,3YUM,30523135,"-2,045.450","-1,453,128",COP,4501948243,85693901,USD,10500,KG,14651020,MIGO_GR,,
170000010,WE,03/01/2019,03/01/2019,,131,2019/01,20011,3YUM,30523135,"-2,045.450","-252,718",COP,4501948243,85693901,USD,10500,KG,14651020,MIGO_GR,,
170000010,WE,03/01/2019,03/01/2019,,131,2019/01,20011,3YUM,30523135,"-1,227.270","-871,877",COP,4501948243,85693901,USD,10500,KG,14651020,MIGO_GR,,
170000010,WE,03/01/2019,03/01/2019,,131,2019/01,20011,3YUM,30523135,"-1,227.270","-151,631",COP,4501948243,85693901,USD,10500,KG,14651020,MIGO_GR,,
170000011,WE,03/01/2019,03/01/2019,,135,2019/01,20011,3YUM,30224691,-544.320,"-191,751",COP,4501955597,85694346,USD,10500,KG,14651020,MIGO_GR,,
170000011,WE,03/01/2019,03/01/2019,,135,2019/01,20011,3YUM,30224691,-544.320,"-191,751",COP,4501955597,85694346,USD,10500,KG,14651020,MIGO_GR,,
170000011,WE,03/01/2019,03/01/2019,,135,2019/01,20011,3YUM,30224691,-544.320,"-191,751",COP,4501955597,85694346,USD,10500,KG,14651020,MIGO_GR,,
170000013,WE,03/01/2019,03/01/2019,,125,2019/01,20011,3YUM,30007131,"-1,660.134","-1,166,472",COP,4501956624,85694077,USD,10500,KG,14651020,MIGO_GR,,
170000013,WE,03/01/2019,03/01/2019,,125,2019/01,20011,3YUM,30007131,"-1,660.134","-689,286",COP,4501956624,85694077,USD,10500,KG,14651020,MIGO_GR,,
170000014,WE,03/01/2019,03/01/2019,,135,2019/01,20011,3YUM,35018300,"-4,200","-1,470,000",COP,4501966604,85691015,COP,10530,EA,14651020,MIGO_GR,,
170000015,WE,03/01/2019,03/01/2019,,135,2019/01,20011,3YUM,35018300,"-4,200","-1,470,000",COP,4501966605,85693620,COP,10530,EA,14651020,MIGO_GR,,
170000021,WE,04/01/2019,04/01/2019,,135,2019/01,20011,3YUM,91312510,"-2,200","-1,304,798",COP,4501923167,85693616,USD,10520,KG,14651020,MIGO_GR,,
170000021,WE,04/01/2019,04/01/2019,,135,2019/01,20011,3YUM,91312510,"-2,200","-326,200",COP,4501923167,85693616,USD,10520,KG,14651020,MIGO_GR,,
170000021,WE,04/01/2019,04/01/2019,,135,2019/01,20011,3YUM,91312510,"-15,400","-9,133,586",COP,4501923167,85693616,USD,10520,KG,14651020,MIGO_GR,,
170000021,WE,04/01/2019,04/01/2019,,135,2019/01,20011,3YUM,91312510,"-15,400","-2,283,397",COP,4501923167,85693616,USD,10520,KG,14651020,MIGO_GR,,
170000030,WE,08/01/2019,08/01/2019,,135,2019/01,20011,3YUM,30531358,"-20,000","-2,286,280",COP,4501869663,85696495,USD,10500,KG,14651020,MIGO_GR,,
170000032,WE,08/01/2019,08/01/2019,,135,2019/01,20011,3YUM,30531358,"-20,000","-2,286,280",COP,4501869662,85696494,USD,10500,KG,14651020,MIGO_GR,,
170000034,WE,08/01/2019,08/01/2019,,135,2019/01,20011,3YUM,30531350,"-5,000","-2,946,594",COP,4501866953,85696376,USD,10500,KG,14651020,MIGO_GR,,
170000034,WE,08/01/2019,08/01/2019,,135,2019/01,20011,3YUM,30531350,"-5,000","-841,884",COP,4501866953,85696376,USD,10500,KG,14651020,MIGO_GR,,
170000034,WE,08/01/2019,08/01/2019,,135,2019/01,20011,3YUM,30531350,-500,"-294,659",COP,4501866953,85696376,USD,10500,KG,14651020,MIGO_GR,,
170000034,WE,08/01/2019,08/01/2019,,135,2019/01,20011,3YUM,30531350,-500,"-84,188",COP,4501866953,85696376,USD,10500,KG,14651020,MIGO_GR,,
170000034,WE,08/01/2019,08/01/2019,,135,2019/01,20011,3YUM,30531350,"-1,000","-589,319",COP,4501866953,85696376,USD,10500,KG,14651020,MIGO_GR,,
170000034,WE,08/01/2019,08/01/2019,,135,2019/01,20011,3YUM,30531350,"-1,000","-168,377",COP,4501866953,85696376,USD,10500,KG,14651020,MIGO_GR,,
170000034,WE,08/01/2019,08/01/2019,,131,2019/01,20011,3YUM,30513920,-900,"-151,539",COP,4501866953,85696376,USD,10500,KG,14651020,MIGO_GR,,
170000034,WE,08/01/2019,08/01/2019,,131,2019/01,20011,3YUM,30513920,-900,"-429,361",COP,4501866953,85696376,USD,10500,KG,14651020,MIGO_GR,,
170000034,WE,08/01/2019,08/01/2019,,131,2019/01,20011,3YUM,30513920,"-1,200","-202,052",COP,4501866953,85696376,USD,10500,KG,14651020,MIGO_GR,,
170000034,WE,08/01/2019,08/01/2019,,131,2019/01,20011,3YUM,30513920,"-1,200","-572,481",COP,4501866953,85696376,USD,10500,KG,14651020,MIGO_GR,,
170000038,WE,08/01/2019,08/01/2019,,131,2019/01,20011,3YUM,30509050,"-18,000","-1,915,810",COP,4501936832,85696882,EUR,10500,KG,14651020,MIGO_GR,,
170000046,WE,09/01/2019,09/01/2019,,135,2019/01,20011,3YUM,30531706,"-20,000","-2,287,824",COP,4501890894,85696884,USD,10500,KG,14651020,MIGO_GR,,
170000050,WE,10/01/2019,10/01/2019,,135,2019/01,20011,3YUM,30018996,"-6,600","-915,668",COP,4501926219,85696893,EUR,10500,KG,14651020,MIGO_GR,,
170000050,WE,10/01/2019,10/01/2019,,135,2019/01,20011,3YUM,30018996,"-6,600","-3,662,672",COP,4501926219,85696893,EUR,10500,KG,14651020,MIGO_GR,,
170000050,WE,10/01/2019,10/01/2019,,135,2019/01,20011,3YUM,30018996,"-1,800","-249,728",COP,4501926219,85696893,EUR,10500,KG,14651020,MIGO_GR,,
170000050,WE,10/01/2019,10/01/2019,,135,2019/01,20011,3YUM,30018996,"-1,800","-998,911",COP,4501926219,85696893,EUR,10500,KG,14651020,MIGO_GR,,
170000050,WE,10/01/2019,10/01/2019,,135,2019/01,20011,3YUM,30512500,"-6,600","-3,662,673",COP,4501926219,85696893,EUR,10500,KG,14651020,MIGO_GR,,
170000050,WE,10/01/2019,10/01/2019,,135,2019/01,20011,3YUM,30512500,"-6,600","-915,668",COP,4501926219,85696893,EUR,10500,KG,14651020,MIGO_GR,,
170000059,WE,11/01/2019,11/01/2019,,135,2019/01,20011,3YUM,30225157,"-2,000","-1,085,892",COP,4501956717,85696705,USD,10500,KG,14651020,MIGO_GR,,
170000064,WE,11/01/2019,11/01/2019,,135,2019/01,20011,3YUM,30018609,"-21,500","-1,992,063",COP,4501928458,85696896,USD,10500,KG,14651020,MIGO_GR,,
170000065,WE,11/01/2019,11/01/2019,,135,2019/01,20011,3YUM,30531358,"-20,000","-2,286,280",COP,4501869664,85697736,USD,10500,KG,14651020,MIGO_GR,,
